WineIndex,Type,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
601,Red,Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Biscardo,4.3,1189,26.06,2015
602,Red,Bosan Riserva Amarone della Valpolicella Classico 2008,Italy,Amarone della Valpolicella Classico,Cesari,4.2,119,56,2008
603,Red,Nebbiolo Coste Della Sesia 2017,Italy,Coste della Sesia,Travaglini,3.6,119,18.7,2017
604,Red,Sister Moon 2015,Italy,Toscana,Tenuta Il Palagio,4.2,119,42.95,2015
605,Red,Vat 9 Shiraz 2011,Australia,Hunter Valley,Tyrrell's,3.9,119,33.92,2011
606,Red,GSM 2017,France,Vin de France,Maison de La Villette,4,119,6.6,2017
607,Red,Pomerol 2005,France,Pomerol,Clos l'Eglise,4.4,119,139.95,2005
608,Red,Tribu Merlot 2016,Argentina,Maipu,Trivento,3.1,119,8.67,2016
609,Red,Aconcagua Valley 2017,Chile,Aconcagua Valley,Sena,4.3,119,106.15,2017
610,Red,Zweigelt 2018,Austria,Burgenland,Judith Beck,3.6,119,10.6,2018
611,Red,Macán Clásico 2016,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.2,119,38.5,2016
612,Red,Gevrey-Chambertin 2016,France,Gevrey-Chambertin,Joseph Drouhin,4.1,119,48.64,2016
613,Red,Pessac-Léognan (Grand Cru Classé de Graves) 2017,France,Pessac-Léognan,Château Pape Clément,4,119,102.35,2017
614,Red,Le Clos des Fées (Hervé Bizeul) 2015,France,Côtes du Roussillon,Domaine du Clos des Fées,4.2,119,38.89,2015
615,Red,Mont du Toit 2007,South Africa,Wellington,Mont du Toit,4.1,119,54,2007
616,Red,Saga Médoc 2015,France,Médoc,Barons de Rothschild (Lafite),3.9,119,10.25,2015
617,Red,Valpolicella Ripasso (Classico Superiore) 2017,Italy,Valpolicella Ripasso,Tommasi,4.1,119,16.9,2017
618,Red,Il Passo Nerello Mascalese 2018,Italy,Terre Siciliane,Zabu,3.7,119,7.5,2018
619,Red,Les Dentelles Côtes du Roussillon Villages 2015,France,Côtes du Roussillon Villages,Thunevin-Calvet,3.7,119,31.19,2015
620,Red,Maremma Toscana Le Sughere di Frassinello 2015,Italy,Maremma Toscana,Rocca di Frassinello,3.9,1190,19.9,2015
621,Red,Barrel Selection Malbec 2018,Argentina,Uco Valley,Salentein,4.1,1192,12.89,2018
622,Red,Rioja Reserva (Tempranillo) 2015,Spain,Rioja,Ramón Bilbao,4,1192,10.49,2015
623,Red,Malbec 2018,Argentina,Mendoza,Alamos,3.7,11920,8.4,2018
624,Red,Rubicon 2016,South Africa,Stellenbosch,Meerlust,4.3,1193,26.9,2016
625,Red,Paula Malbec 2018,Argentina,Lujan de Cuyo,Doña Paula,3.4,1194,6.73,2018
626,Red,Hermitage 'La Maison Bleue' 2017,France,Hermitage,Paul Jaboulet Aîné,4.1,120,77.35,2017
627,Red,Aviator Blaufränkisch 2017,Austria,Neusiedlersee,Keringer,4,120,11.6,2017
628,Red,Syrah Reserva 2017,Chile,Central Valley,Escudo Rojo,3.4,120,12.5,2017
629,Red,Poggio Valente 2014,Italy,Toscana,Fattoria le Pupille,3.8,120,26.9,2014
630,Red,Primitivo 2018,Italy,Salento,Feudo Croce,3.8,120,9.95,2018
631,Red,Prestige Saint-Drézéry Rouge 2018,France,Saint-Drézéry,Château Puech-Haut,4.2,120,16.85,2018
632,Red,Pinotage Reserve 2018,South Africa,Durbanville,Diemersdal,4.1,120,19.25,2018
633,Red,Cabernet Sauvignon - Merlot 2015,Slovenia,Podravje,Puklavec Family Wines,3,120,7.65,2015
634,Red,Merlot - Corvina 2018,Italy,Veneto,Corte Giara,3.4,120,6.44,2018
635,Red,Atrium Merlot 2018,Spain,Penedès,Torres,3.8,120,10.5,2018
636,Red,Cabernet Sauvignon (The Churchyard) 2018,South Africa,Franschhoek,Franschhoek Cellar,3.6,120,8.5,2018
637,Red,Rosso di Montepulciano 2016,Italy,Rosso di Montepulciano,Talosa,3.4,120,12.19,2016
638,Red,La Chenade Lalande de Pomerol 2015,France,Lalande-de-Pomerol,Denis Durantou,4,120,28.83,2015
639,Red,Appellation Syrah 2017,Argentina,Pedernal Valley,Pyros,3.8,120,13.95,2017
640,Red,Sot Nebbiolo d'Alba 2015,Italy,Nebbiolo d'Alba,Pelassa,3.7,120,15.99,2015
641,Red,Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Villa Poggio Salvi,3.7,120,13.99,2017
642,Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,France,Saint-Émilion Grand Cru,Château Beau-Sejour Becot,4.1,120,85,2016
643,Red,Anaperenna 2017,Australia,Barossa Valley,Glaetzer,4.2,120,44.99,2017
644,Red,1270 A Vuit Red 2013,Spain,Priorat,Hidalgo Albert,3.7,120,29.25,2013
645,Red,La Garnacha Olvidada de Aragón 2017,Spain,Aragón,Proyecto Garnachas de España,3.7,120,13.95,2017
646,Red,Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Borgogno,3.8,120,13.95,2017
647,Red,Médoc 2005,France,Médoc,Château d'Escurac,3.7,120,25.95,2005
648,Red,Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Nobile delle Rocche,3.6,120,4.95,2018
649,Red,Les Hauts de Naudon Bordeaux Supérieur 2016,France,Bordeaux Supérieur,Château Pierrail,3.8,120,8.95,2016
650,Red,Winemaker's Selection Tinto 2018,Portugal,Lisboa,Portada,3.7,1202,5.74,2018
651,Red,Salmos 2016,Spain,Priorat,Torres,4.2,1203,23.49,2016
652,Red,Capitel San Rocco Valpolicella Ripasso Superiore 2016,Italy,Valpolicella Ripasso,Tedeschi,3.8,1205,14.2,2016
653,Red,Crianza Rioja 2016,Spain,Rioja,Ramón Bilbao,3.9,12079,8.6,2016
654,Red,Saint-Estèphe (Grand Cru Classé) 2012,France,Saint-Estèphe,Château Montrose,4.2,1208,106.25,2012
655,Red,Pinotage 2016,South Africa,Stellenbosch,Kanonkop,4.2,1208,39.19,2016
656,Red,Sorì dei Mori Barbera d'Asti 2018,Italy,Barbera d'Asti,Vinchio - Vaglio Serra,3.1,121,8.9,2018
657,Red,Margaux (Grand Cru Classé) 2016,France,Margaux,Château Marquis d'Alesme,4.1,121,53.61,2016
658,Red,Pinotage 2018,South Africa,Stellenbosch,Stellenrust,3.6,121,8.72,2018
659,Red,I Bastioni Chianti Classico 2017,Italy,Chianti Classico,Collazzi,3.8,121,15.42,2017
660,Red,4 20 Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Torri,3.8,121,8.9,2018
661,Red,Pinotage 2016,South Africa,Stellenbosch,Anura,3.8,121,12.6,2016
662,Red,Cabernet Sauvignon Grande Reserva 2014,Portugal,Lisboa,Casa do Lago,4.1,121,5.99,2014
663,Red,Reserva 2012,Spain,Rioja,Viña Olabarri,3.7,121,13.7,2012
664,Red,Special Reserve Cabernet Sauvignon 2013,Chile,Colchagua Valley,Siegel,3.7,121,12.62,2013
665,Red,Tenuta Santedame Chianti Classico 2015,Italy,Chianti Classico,Ruffino,3.8,121,19.42,2015
666,Red,Caladessa Tinto 2016,Portugal,Alentejo,Herdade da Calada,4,121,9.9,2016
667,Red,Spätburgunder 2017,Germany,Ahr,Hand in Hand - Meyer-Näkel & Klumpp,3.9,121,12.5,2017
668,Red,Pietra Susumaniello 2018,Italy,Salento,Menhir,3.8,121,12.9,2018
669,Red,Savigny Premier Cru 'Aux Clous' 2014,France,Savigny-lès-Beaune 1er Cru 'Aux Clous',Ardhuy,3.8,121,23.59,2014
670,Red,Cabernet Sauvignon - Syrah 2018,France,Pays d'Oc,Anciens Temps,3.6,121,5.7,2018
671,Red,Roches d'Hillac 2015,France,Buzet,Les Vignerons de Buzet,3.4,121,6.2,2015
672,Red,La Cumbre Syrah 2015,Chile,Aconcagua Valley,Errazuriz,4.3,121,63.27,2015
673,Red,Argile Rouge 2017,France,Vins des Allobroges,Domaine des Ardoisieres,3.9,121,29.15,2017
674,Red,Brunello di Montalcino Riserva 2010,Italy,Brunello di Montalcino,Conti Costanti,4.5,121,144.53,2010
675,Red,One Red Blend 2016,South Africa,Western Cape,Capaia,3.9,121,19.05,2016
676,Red,Circle of Life Red 2015,South Africa,Stellenbosch,Waterkloof,3.7,121,16.9,2015
677,Red,Barolo 2013,Italy,Barolo,Ceretto,4,1211,48.4,2013
678,Red,Grand Cru Apalta 2014,Chile,Colchagua Valley,Caballo Loco,4.4,1211,27.2,2014
679,Red,Marquis de Calon Saint-Estèphe 2014,France,Saint-Estèphe,Château Calon-Ségur,3.9,1212,24.9,2014
680,Red,Légende (R) Bordeaux Rouge 2016,France,Bordeaux,Barons de Rothschild (Lafite),3.5,1213,12.14,2016
681,Red,Barbera d'Alba 2017,Italy,Barbera d'Alba,Fontanafredda,3.6,1213,8.59,2017
682,Red,Estate Shiraz 2017,Australia,Clare Valley,Taylors / Wakefield,3.8,1215,9.5,2017
683,Red,Da Vinci Chianti 2017,Italy,Chianti,Cantine Leonardo da Vinci,3.5,1218,7.5,2017
684,Red,Terroir du Trias Bandol Rouge 2015,France,Bandol,Domaine de Terrebrune,4.1,122,30.9,2015
685,Red,Chiaramonte Nero d'Avola 2017,Italy,Terre Siciliane,Firriato,3.7,122,8.49,2017
686,Red,Pinot Noir Te Muna Road Vineyard 2017,New Zealand,Marlborough,Craggy Range,4.1,122,39.48,2017
687,Red,Titolo 2016,Italy,Aglianico del Vulture,Elena Fucci,3.8,122,31.48,2016
688,Red,Johanneshöhe Blaufränkisch 2012,Austria,Burgenland,Prieler,3.7,122,11.09,2012
689,Red,Sorì San Lorenzo 2013,Italy,Langhe,Gaja,4.4,122,445,2013
690,Red,Moncagua Malbec 2017,Argentina,Mendoza,Belasco de Baquedano,3.7,122,8.83,2017
691,Red,Passiata 2017,Italy,Sicilia,Stemmari,3.9,122,6.68,2017
692,Red,Montagne-Saint-Émilion 2015,France,Montagne-Saint-Émilion,Château Tour Calon,3.6,122,14.36,2015
693,Red,Médoc 2010,France,Médoc,Château Cardus,3.7,122,14.9,2010
694,Red,Sidereus 2016,Italy,Toscana,Cantine del Borgo Reale,3.8,122,26.81,2016
695,Red,Haut-Médoc 2014,France,Haut-Médoc,Château Saint-Ahon,3.9,122,18.42,2014
696,Red,Caudium Aglianico 2018,Italy,Campania,Masseria Frattasi,3.8,122,10.57,2018
697,Red,Barthélémy 2010,France,Francs - Côtes de Bordeaux,Château le Puy,4.2,122,149,2010
698,Red,Aenigma Red 2014,South Africa,Elgin,Neil Ellis,3.5,122,9.9,2014
699,Red,Toscana Rosso 2015,Italy,Toscana,La Madonnina,4.1,122,26,2015
700,Red,Crozes-Hermitage Domaine de Thalabert 1996,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.8,122,54.25,1996
701,Red,Finca Biniagual Gran Verán 2015,Spain,Binissalem-Mallorca,Biniagual,4,122,46.79,2015
702,Red,Martin Melck Cabernet Sauvignon 2015,South Africa,Stellenbosch,Muratie,4.1,122,13.99,2015
703,Red,Vitral Reserva Carmenère 2018,Chile,Rapel Valley,Viña Maipo,3.6,122,7.5,2018
704,Red,Chianti Classico 2014,Italy,Chianti Classico,Cinciole,3.8,122,14.57,2014
705,Red,Bordeaux Rouge 2015,France,Bordeaux,Château Vircoulon,3.2,122,8.95,2015
706,Red,Terroir Series Cabernet Sauvignon 2016,Argentina,Mendoza,Kaiken,3.7,122,10.24,2016
707,Red,Barbera d'Alba Maria Gioana 2015,Italy,Barbera d'Alba,Giacosa Fratelli,4,122,14.62,2015
708,Red,Blauer Spätburgunder 2013,Germany,Baden,Ziereisen,3.4,122,11.31,2013
709,Red,Châteauneuf-du-Pape (Tradition) Rouge 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,122,49.95,2010
710,Red,Rosso di Montepulciano 2018,Italy,Rosso di Montepulciano,Tenuta di Gracciano della Seta,3.9,122,8.53,2018
711,Red,Monti Garbi Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Tenuta Sant'Antonio,3.9,1220,9.95,2017
712,Red,Cabernet Sauvignon (Cs) 2016,United States,Columbia Valley,Substance,3.8,1221,21.8,2016
713,Red,Rocca Rubia Riserva Carignano del Sulcis 2016,Italy,Carignano del Sulcis,Santadi,4.1,1222,15.08,2016
714,Red,Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Cáceres,4,1225,17.69,2011
715,Red,Crianza 2014,Spain,Rioja,Rioja Vega,3.5,1226,7.99,2014
716,Red,Saint-Julien (Grand Cru Classé) 2007,France,Saint-Julien,Château Léoville Barton,4.1,1227,76,2007
717,Red,Moulis-en-Médoc 2012,France,Moulis-en-Médoc,Château Poujeaux,3.9,1227,31.19,2012
718,Red,Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Barton,4.2,1228,76.95,2008
719,Red,Poggio ai Ginepri Bolgheri 2017,Italy,Bolgheri,Tenuta Argentiera,3.9,1228,11.9,2017
720,Red,Selección Especial (Reserva) 2015,Spain,Rioja,Muga,4.3,1229,26.32,2015
721,Red,Dragone Rosso 2016,Italy,Calabria,Lento,3.8,123,13.42,2016
722,Red,Lily's Garden Shiraz 2017,Australia,McLaren Vale,Two Hands,4.2,123,49,2017
723,Red,LZ Rioja 2018,Spain,Rioja,Telmo Rodriguez,3.5,123,8.75,2018
724,Red,Estate Selection Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.6,123,8.99,2017
725,Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.2,123,109,2011
726,Red,Garnatxa 2018,Spain,Catalunya,Segura Viudas,3.1,123,6.25,2018
727,Red,Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4,123,6.61,2017
728,Red,Reserva Tinto 1999,Portugal,Alentejo,Marquês de Borba,4.5,123,50.2,1999
729,Red,Châteauneuf-du-Pape Chaupin 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,123,98,2010
730,Red,Margaux 2016,France,Margaux,Château Rauzan-Gassies,4,123,88,2016
731,Red,Tempranillo Valencia 2018,Spain,Valencia,Radio Boca,3.4,123,5.15,2018
732,Red,Pézenas 2017,France,Pézenas,Mas des Mas,3.7,123,16.79,2017
733,Red,Les Vieilles Vignes Volnay 2015,France,Volnay,Vincent Girardin,3.9,123,48.1,2015
734,Red,Conteisa Langhe 2011,Italy,Langhe,Gaja,4.2,123,219,2011
735,Red,Kanai Riserva Carignano del Sulcis 2015,Italy,Carignano del Sulcis,Sardus Pater,3.8,123,16.57,2015
736,Red,Paxxo 2017,Italy,Veneto,Stefano Accordini,4.1,123,19.4,2017
737,Red,Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,25,2012
738,Red,Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,37.9,2016
739,Red,Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,27.95,2005
740,Red,Odé d'Aydie Madiran 2016,France,Madiran,Château d'Aydie,3.7,123,12.9,2016
741,Red,Instinct Parcellaire Côtes de Provence 2015,France,Côtes de Provence,Château des Bormettes,3.7,123,21.93,2015
742,Red,Rosso di Montalcino Banditella 2016,Italy,Rosso di Montalcino,Col d'Orcia,3.8,123,18.5,2016
743,Red,Eremo San Quirico 2016,Italy,Irpinia Campi Taurasini,Nativ,4.2,1232,17.45,2016
744,Red,Rioja Reserva 2009,Spain,Rioja,Luis Cañas,3.9,1233,34.99,2009
745,Red,De Chiripa 2017,Spain,Ribera del Duero,Valderiz,3.6,124,15.27,2017
746,Red,Colección Crianza 2013,Spain,Navarra,Castillo de Enériz,4.1,124,12.3,2013
747,Red,Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4,124,15.47,2018
748,Red,Merlot 2017,Israel,Galilee,Gamla,3.9,124,15.05,2017
749,Red,Barolo Pajana 2011,Italy,Barolo,Domenico Clerico,4.2,124,63.92,2011
750,Red,Al-Muvedre Tinto Monastrell 2018,Spain,Alicante,Telmo Rodriguez,3.6,124,6.95,2018
751,Red,Geremia Toscana 2013,Italy,Toscana,Rocca di Montegrossi,4.1,124,29.95,2013
752,Red,Margaux (Grand Cru Classé) 2017,France,Margaux,Château Giscours,3.8,124,70.19,2017
753,Red,Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4,124,38.25,2016
754,Red,Monopole 'Clos des Langres' Rouge 2014,France,Côte de Nuits Villages,Ardhuy,4.2,124,35.5,2014
755,Red,Barolo Brunate 2011,Italy,Barolo,Vietti,4.4,124,144.53,2011
756,Red,The Long Walk Shiraz 2018,South Africa,Western Cape,Footprint,3.5,124,6.5,2018
757,Red,Cabernet Sauvignon 2015,South Africa,Stellenbosch,Zevenwacht,3.8,124,13.82,2015
758,Red,País 2015,Chile,Itata Valley,Viña La Causa,3.8,124,11.55,2015
759,Red,Rouge 2015,France,Gard,Roc d'Anglade,3.9,124,36.46,2015
760,Red,La Napoleon Beaujolais Villages 2017,France,Beaujolais-Villages,Clotaire Michal,3.8,124,35,2017
761,Red,Vi de Vila Gratallops 2017,Spain,Priorat,Álvaro Palacios,4.3,124,47.95,2017
762,Red,Shiraz 2017,Australia,McLaren Vale,Jim Jim,3.4,124,11.6,2017
763,Red,Domaine De Cigalus Red 2018,France,Vin de Pays,Gérard Bertrand,4.1,124,32.75,2018
764,Red,Reserva Malbec 2017,Argentina,Patagonia,Bodega del Fin del Mundo,3.8,1242,13.69,2017
765,Red,Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4,1243,52.35,2012
766,Red,Tempranillo 2018,Spain,Rioja,Dinastía Manzanos,3.7,1246,5.43,2018
767,Red,Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4,1247,6.9,2018
768,Red,Koonunga Hill Shiraz - Cabernet 2018,Australia,South Australia,Penfolds,3.7,1249,10.6,2018
769,Red,Adénzia Rosso 2016,Italy,Sicilia,Baglio del Cristo di Campobello,4,125,13.4,2016
770,Red,Chianti Classico 2017,Italy,Chianti Classico,Dievole,3.6,125,16.9,2017
771,Red,Memorious Pinot Noir 2016,United States,Sta. Rita Hills,Domaine de la Côte,4,125,54,2016
772,Red,Batonnage (Red Scorpion) 2016,Austria,Niederösterreich,Scheiblhofer,4.4,125,149,2016
773,Red,l'Equilibre 2016,France,Languedoc-Roussillon,Villa Symposia,3.7,125,8.72,2016
774,Red,Rouge (Estate Reserve) 2011,South Africa,Stellenbosch,Morgenster Estate,4.2,125,36.5,2011
775,Red,Alàuda 2015,Italy,Toscana,Ruffino,4.5,125,106.89,2015
776,Red,Parcela 12 Graciano 2016,Spain,Castilla,Finca Constancia,3.8,125,8.99,2016
777,Red,Copertino 2016,Italy,Copertino,Doppio Passo,4.1,125,8.77,2016
778,Red,Le Different de Chateau de Ferrand Saint Emilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Ferrand,4.1,125,21,2015
779,Red,Haut-Médoc 2015,France,Haut-Médoc,Château d'Aurilhac,3.6,125,13.5,2015
780,Red,Caroso Montepulciano d'Abruzzo Riserva 2015,Italy,Montepulciano d'Abruzzo,Citra,3.9,125,13.55,2015
781,Red,Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125,419.95,2000
782,Red,Matallana 2010,Spain,Ribera del Duero,Telmo Rodriguez,4,125,81.95,2010
783,Red,Alfredo Dried Grape Shiraz 2016,Australia,South Australia,Nugan,3.8,125,22.59,2016
784,Red,Rocche di Castiglione Barolo 2011,Italy,Barolo,Brovia,4.2,125,66.45,2011
785,Red,Toscano Rosso 2016,Italy,Toscana,Famiglia Castellani,4,125,5.43,2016
786,Red,Annonce Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,125,53.61,2014
787,Red,Messiio Maremma Toscana 2015,Italy,Maremma Toscana,Fertuna,4.1,125,21.24,2015
788,Red,Tempranillo 2017,Spain,Castilla,Conde Pinel,3.4,125,4.86,2017
789,Red,Ventoux Artemia 2015,France,Ventoux,Château Pesquie,4,125,32.9,2015
790,Red,Cabernet Sauvignon 2017,United States,California,Wines from Hahn Estate,3.7,1250,19.2,2017
791,Red,Bourgogne Pinot Noir 2015,France,Bourgogne,Bouchard Père & Fils,3.5,1252,44.59,2015
792,Red,Tupungato Passo Doble Malbec - Corvina 2009,Argentina,Tupungato,Masi,3.5,1252,13.69,2009
793,Red,Reserva de Propiedad 2016,Chile,Maipo Valley,Haras de Pirque,3.5,1253,9.99,2016
794,Red,Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Poyferré,4.4,1254,139.95,2005
795,Red,Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Croix Mouton,3.7,1254,14.57,2015
796,Red,Chianti Classico 2015,Italy,Chianti Classico,Tenuta Perano,3.8,1255,16.08,2015
797,Red,Alandra Tinto 2018,Portugal,Alentejo,Esporão,3.3,1258,4.75,2018
798,Red,Gran Sangre de Toro Reserva 2015,Spain,Catalunya,Torres,3.7,1258,9.9,2015
799,Red,Rubesco Rosso di Torgiano 2013,Italy,Torgiano,Lungarotti,3.5,1259,11.65,2013
800,Red,Reserve Cabernet Sauvignon 2014,South Africa,Stellenbosch,Anura,3.9,126,16.6,2014
801,Red,Les Terroirs Vieux Carignan 2017,France,Hérault,Calmel & Joseph,3.7,126,9.9,2017
802,Red,Chianti Superiore 2018,Italy,Chianti,Castello del Trebbio,3.8,126,13.33,2018
803,Red,Casalferro Toscana 2016,Italy,Toscana,Ricasoli,4,126,39.9,2016
804,Red,Barbera d'Alba Trevigne 2009,Italy,Barbera d'Alba,Domenico Clerico,3.7,126,16.39,2009
805,Red,Pelagrilli Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Siro Pacenti,4.2,126,51.9,2014
806,Red,50 & 50 2014,Italy,Toscana,Capannelle,4.3,126,95.7,2014
807,Red,Wiener Trilogie 2016,Austria,Wien,Wieninger,3.7,126,12.87,2016
808,Red,Gattinara Tre Vigne 2014,Italy,Gattinara,Travaglini,4.1,126,38.7,2014
809,Red,Ocra Bolgheri Rosso 2017,Italy,Bolgheri,Tenute Guicciardini Strozzi,3.9,126,21.95,2017
810,Red,Message in a Bottle Rosso 2018,Italy,Toscana,Tenuta Il Palagio,3.7,126,14.55,2018
811,Red,Bricco Dei Merli Barbera d'Alba 2015,Italy,Barbera d'Alba,Elvio Cogno,3.8,126,13.95,2015
812,Red,Lacrima di Morro d'Alba 2018,Italy,Lacrima di Morro d'Alba,Conti di Buscareto,3.4,126,7.58,2018
813,Red,Coevo Toscana 2013,Italy,Toscana,Cecchi,4.2,126,59.02,2013
814,Red,Amarone della Valpolicella Case Vecie 2013,Italy,Amarone della Valpolicella Classico,Brigaldara,4,126,36.75,2013
815,Red,Syrah Sicilia 2018,Italy,Sicilia,Feudo Arancio,3.8,126,6.75,2018
816,Red,Cabernet Sauvignon 2017,Australia,Riverina,Richland,3.5,126,9.78,2017
817,Red,Collezione di Famiglia Syrah Terre Siciliane 2018,Italy,Terre Siciliane,Barone Montalto,4.1,126,8.32,2018
818,Red,Tre 2017,Italy,Toscana,Brancaia,3.6,126,11.5,2017
819,Red,Haut-Médoc 2010,France,Haut-Médoc,Château Sénéjac,3.7,1262,35.95,2010
820,Red,Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Poyferré,4.2,1264,109,2011
821,Red,Plumbago Nero d'Avola Sicilia 2017,Italy,Sicilia,Planeta,3.7,1264,10.5,2017
822,Red,Chianti Classico Vigneto Gran Selezione San Lorenzo 2013,Italy,Chianti Classico,Castello di Ama,3.9,1265,31.53,2013
823,Red,Foradori - Teroldego 2015,Italy,Vigneti delle Dolomiti,Foradori,3.8,1269,19.5,2015
824,Red,Haut-Médoc 2015,France,Haut-Médoc,Château Arnauld,4.1,127,43.39,2015
825,Red,Réserve Royale Saperavi 2015,Georgia,Kakheti,Mukhrani,4.4,127,32.9,2015
826,Red,Tinto Reserva 2016,Portugal,Dão,Fonte do Ouro,4,127,11.75,2016
827,Red,Petit Albet Penedès Rouge 2018,Spain,Penedès,Albet i Noya,3.2,127,7.95,2018
828,Red,Camelot 2014,Italy,Terre Siciliane,Firriato,4.1,127,29.99,2014
829,Red,Kaleidoscope 2018,South Africa,Stellenbosch,Kaapzicht,3.3,127,7.9,2018
830,Red,Syrah 2015,South Africa,Cape Agulhas,Lands End,3.6,127,9.9,2015
831,Red,Edición Limitada M 2016,Chile,Colchagua Valley,Caliterra,4.1,127,14.57,2016
832,Red,Kennedy Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Sons of Eden,3.9,127,26.81,2017
833,Red,Collio Cabernet Sauvignon 2017,Italy,Collio,Marco Felluga,3.7,127,15.99,2017
834,Red,Envero Carmenère Gran Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.8,1270,14.5,2017
835,Red,Casamatta Toscana Rosso 2016,Italy,Toscana,Bibi Graetz,3.5,1270,8.14,2016
836,Red,Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Fanti,4.2,1270,30.71,2012
837,Red,Saint-Estèphe (Grand Cru Classé) 2010,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1272,55,2010
838,Red,The Butcher Cuvée 2017,Austria,Neusiedlersee,Schwarz,3.8,1273,25.5,2017
839,Red,Saint-Estèphe 2009,France,Saint-Estèphe,Château Haut-Marbuzet,4.3,1274,62.39,2009
840,Red,The Banished Dark Red 2018,Australia,South Eastern Australia,19 Crimes,4,1274,11.49,2018
841,Red,Rosso di Montepulciano 2015,Italy,Rosso di Montepulciano,Poliziano,3.7,1274,9.95,2015
842,Red,Nero d'Avola Terre Siciliane 2017,Italy,Terre Siciliane,Tenuta Rapitalà,3.4,1275,6.75,2017
843,Red,Cabernet Sauvignon 2016,Chile,Aconcagua Valley,Arboleda,3.9,1275,15.5,2016
844,Red,Crianza Rioja 2015,Spain,Rioja,Ramón Bilbao,3.8,12778,8.95,2015
845,Red,Primitivo 2018,Italy,Puglia,Terre di Montelusa,3.8,128,4.9,2018
846,Red,Reserva Merlot 2016,Chile,Maipo Valley,Santa Rita,3.3,128,9.65,2016
847,Red,Bricco della Bigotta Barbera d'Asti 2013,Italy,Barbera d'Asti,Braida,4.2,128,45,2013
848,Red,Cantus Primus Cabernet Sauvignon 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.8,128,18.9,2015
849,Red,Sassorosso Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,Nino Negri,3.8,128,16.51,2016
850,Red,Agneau Rouge Bordeaux 2018,France,Bordeaux,Baron Philippe de Rothschild,3.5,128,6.05,2018
851,Red,Selkirk Shiraz 2016,Australia,Langhorne Creek,Bremerton,3.9,128,18.03,2016
852,Red,Finca San Martín Crianza 2016,Spain,Rioja,La Rioja Alta,3.6,128,10.91,2016
853,Red,Edición Limitada A 2016,Chile,Colchagua Valley,Caliterra,4.1,128,16.5,2016
854,Red,Crianza 2014,Spain,Toro,Muruve,3.6,128,10.93,2014
855,Red,Chianti 2015,Italy,Chianti,Principe Strozzi,3.4,128,17.4,2015
856,Red,Chianti 2018,Italy,Chianti,Castello di Gabbiano,3.5,128,8.25,2018
857,Red,Spätburgunder 2017,Germany,Pfalz,Rings,3.6,128,11.5,2017
858,Red,Prados Fusión Garnacha - Syrah 2018,Spain,Campo de Borja,Pagos del Moncayo,3.7,128,9.49,2018
859,Red,Estate Red (Cabernet Sauvignon - Shiraz) 2016,South Africa,Stellenbosch,Kaapzicht,3.9,128,10.45,2016
860,Red,Barrel Selection Merlot 2017,Argentina,Uco Valley,Salentein,4,128,13.43,2017
